摔跤吧！爸爸 Dangal,https://movie.douban.com/subject/26387939/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,涅提·蒂瓦里,剧情,2017-05-05,印度,印地语,9.0,769360
摔跤吧！爸爸 Dangal,https://movie.douban.com/subject/26387939/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,涅提·蒂瓦里,剧情,2017-05-05,印度,印地语,9.0,769360
疯狂动物城 Zootopia,https://movie.douban.com/subject/25662329/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg,拜伦·霍华德,喜剧,2016-03-04,美国,英语 ,9.2,867170
你的名字。 君の名は。,https://movie.douban.com/subject/26683290/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg,新海诚,剧情,2016-12-02,日本,日语,8.4,691555
老炮儿,https://movie.douban.com/subject/24751756/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2292976849.jpg,管虎,剧情,2015-12-24,中国大陆,汉语普通话,7.7,503866
釜山行 부산행,https://movie.douban.com/subject/25986180/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,延尚昊,动作,2016-05-13,韩国,韩语,8.3,500180
湄公河行动,https://movie.douban.com/subject/25815034/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2380677316.jpg,林超贤,剧情,2016-09-30,中国大陆 ,汉语普通话 ,8.0,473572
看不见的客人 Contratiempo,https://movie.douban.com/subject/26580232/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,奥里奥尔·保罗,剧情,2017-09-15,西班牙,西班牙语,8.8,575107
血战钢锯岭 Hacksaw Ridge,https://movie.douban.com/subject/26325320/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,梅尔·吉布森,剧情,2016-12-08,美国 ,英语,8.7,441368
美人鱼,https://movie.douban.com/subject/19944106/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2316177058.jpg,周星驰,喜剧,2016-02-08,中国大陆 ,汉语普通话 ,6.7,520694
爱乐之城 La La Land,https://movie.douban.com/subject/25934014/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2425658570.jpg,达米恩·查泽雷,剧情,2017-02-14,美国,英语,8.3,478777
七月与安生,https://movie.douban.com/subject/25827935/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2378140502.jpg,曾国祥,剧情,2016-09-14,中国大陆 ,汉语普通话,7.6,386153
驴得水,https://movie.douban.com/subject/25921812/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2393044761.jpg,周申,剧情,2016-10-28,中国大陆,汉语普通话,8.3,463983
火星救援 The Martian,https://movie.douban.com/subject/25864085/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2280097442.jpg,雷德利·斯科特,剧情,2015-11-25,美国 ,英语 ,8.4,405108
我的少女时代 我的少女時代,https://movie.douban.com/subject/26366465/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2285115802.jpg,陈玉珊,喜剧,2015-11-19,台湾,汉语普通话,7.8,380108
奇异博士 Doctor Strange,https://movie.douban.com/subject/3025375/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2388501883.jpg,斯科特·德瑞克森,动作,2016-11-04,美国,英语,7.6,383659
神奇动物在哪里 Fantastic Beasts and Where to Find Them,https://movie.douban.com/subject/25726614/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2392444121.jpg,大卫·叶茨,剧情,2016-11-25,英国 ,英语,7.8,391460
美国队长3 Captain America: Civil War,https://movie.douban.com/subject/25820460/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2332503406.jpg,安东尼·罗素,动作,2016-05-06,美国,科萨语 ,7.8,321511
大鱼海棠,https://movie.douban.com/subject/5045678/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2361744534.jpg,梁旋,剧情,2016-07-08,中国大陆,汉语普通话,6.7,318640
死侍 Deadpool,https://movie.douban.com/subject/3718279/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2309264172.jpg,蒂姆·米勒,喜剧,2016-02-12,美国 ,英语,7.7,282297
完美陌生人 Perfetti sconosciuti,https://movie.douban.com/subject/26614893/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.jpg,保罗·格诺维塞,剧情,2018-05-25,意大利,意大利语,8.5,313057
寒战 寒戰,https://movie.douban.com/subject/6890730/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1741835010.jpg,梁乐民,剧情,2012-11-08,香港 ,粤语 ,7.4,262275
X战警：天启 X-Men: Apocalypse,https://movie.douban.com/subject/25786060/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2352321614.jpg,布莱恩·辛格,动作,2016-06-03,美国,英语 ,7.7,268312
比利·林恩的中场战事 Billy Lynn's Long Halftime Walk,https://movie.douban.com/subject/25983044/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2391542403.jpg,李安,剧情,2016-11-11,美国 ,英语,8.4,266075
海边的曼彻斯特 Manchester by the Sea,https://movie.douban.com/subject/25980443/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2496940327.jpg,肯尼思·洛纳根,剧情,2017-08-25,美国,英语,8.6,277684
罗曼蒂克消亡史,https://movie.douban.com/subject/24751763/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2404553168.jpg,程耳,剧情,2016-12-16,中国大陆 ,汉语普通话 ,7.7,263157
降临 Arrival,https://movie.douban.com/subject/21324900/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2411622421.jpg,丹尼斯·维伦纽瓦,剧情,2017-01-20,美国,英语 ,7.7,284811
解救吾先生,https://movie.douban.com/subject/25798448/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2267511583.jpg,丁晟,剧情,2015-09-30,中国大陆,汉语普通话,7.8,260615
长城 The Great Wall,https://movie.douban.com/subject/6982558/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2394573821.jpg,张艺谋,动作,2016-12-16,中国大陆 ,英语 ,4.9,278874
火锅英雄,https://movie.douban.com/subject/25662327/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2325504300.jpg,杨庆,剧情,2016-04-01,中国大陆,汉语普通话 ,7.2,244453
心迷宫,https://movie.douban.com/subject/25917973/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2275298525.jpg,忻钰坤,剧情,2015-10-16,中国大陆,汉语普通话,8.7,256709
功夫熊猫3 Kung Fu Panda 3,https://movie.douban.com/subject/11589036/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2306653420.jpg,吕寅荣,喜剧,2016-01-29,美国 ,英语,7.7,232922
从你的全世界路过,https://movie.douban.com/subject/26280528/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2382076389.jpg,张一白,喜剧,2016-09-29,中国大陆,汉语普通话,5.2,214908
