流浪地球,https://movie.douban.com/subject/26266893/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2545472803.jpg,郭帆,科幻,2019-02-05,中国大陆,汉语普通话 ,8.0,1123275
飞驰人生,https://movie.douban.com/subject/30163509/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2542973862.jpg,韩寒,喜剧,2019-02-05,中国大陆,汉语普通话 ,7.0,499168
疯狂的外星人,https://movie.douban.com/subject/25986662/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541901817.jpg,宁浩,喜剧,2019-02-05,中国大陆,汉语普通话 ,6.4,412897
白蛇：缘起,https://movie.douban.com/subject/30331149/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2544313786.jpg,黄家康,爱情,2019-01-11,中国大陆 ,汉语普通话,7.9,320983
阿丽塔：战斗天使 Alita: Battle Angel,https://movie.douban.com/subject/1652592/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2544987866.jpg,罗伯特·罗德里格兹,动作,2019-02-22,美国 ,英语 ,7.6,309231
惊奇队长 Captain Marvel,https://movie.douban.com/subject/26213252/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2548870813.jpg,安娜·波顿,动作,2019-03-08,美国,英语,7.0,270294
新喜剧之王,https://movie.douban.com/subject/4840388/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2541240741.jpg,周星驰,剧情,2019-02-05,中国大陆 ,汉语普通话 ,5.7,249549
“大”人物,https://movie.douban.com/subject/26816076/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2544988187.jpg,五百,动作,2019-01-10,中国大陆,汉语普通话,6.5,117540
密室逃生 Escape Room,https://movie.douban.com/subject/27109679/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2543631842.jpg,亚当·罗比特尔,悬疑,2019-01-18,美国,英语,7.2,112367
驯龙高手3 How To Train Your Dragon: The Hidden World,https://movie.douban.com/subject/19899707/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2546335362.jpg,迪恩·德布洛斯,动画,2019-03-01,美国,英语,7.5,109848
雷霆沙赞！ Shazam!,https://movie.douban.com/subject/2244426/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551249211.jpg,大卫·F·桑德伯格,动作,2019-04-05,美国,英语,6.6,100641
地久天长,https://movie.douban.com/subject/26715636/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550208359.jpg,王小帅,剧情,2019-03-22,中国大陆,汉语普通话,7.9,82410
廉政风云 廉政風雲 煙幕,https://movie.douban.com/subject/27114416/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2554020294.jpg,麦兆辉,剧情,2019-02-05,香港 ,粤语,5.4,56607
一吻定情,https://movie.douban.com/subject/30263995/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2546255256.jpg,陈玉珊,喜剧,2019-02-14,中国大陆,汉语普通话,4.7,54652
神探蒲松龄,https://movie.douban.com/subject/27065898/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2545389067.jpg,严嘉,喜剧,2019-02-05,中国大陆,汉语普通话,3.8,44122
极限职业 극한직업,https://movie.douban.com/subject/27597250/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2542216607.jpg,李炳宪,喜剧,2019-01-23,韩国,韩语,7.7,45667
反贪风暴4 P風暴,https://movie.douban.com/subject/27202819/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551353482.jpg,林德禄 ,动作,2019-04-04,香港 ,粤语 ,6.3,41119
老师·好,https://movie.douban.com/subject/27663742/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2551352209.jpg,张栾,剧情,2019-03-22,中国大陆,汉语普通话,6.8,40644
熊出没·原始时代,https://movie.douban.com/subject/30335059/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2541035591.jpg,丁亮,喜剧,2019-02-05,中国大陆,汉语普通话,6.6,13082
忌日快乐2 Happy Death Day 2U,https://movie.douban.com/subject/30209818/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2537451675.jpg,克里斯托弗·兰登,悬疑,2019-02-13,美国,英语,6.7,27132
小飞象 Dumbo,https://movie.douban.com/subject/25924056/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549234765.jpg,蒂姆·波顿,奇幻,2019-03-29,美国,英语,6.8,25226
一条狗的回家路 A Dog's Way Home,https://movie.douban.com/subject/27193043/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2545487478.jpg,查尔斯·马丁·史密斯,剧情,2019-01-18,美国,英语,6.8,16344
极线杀手 Polar,https://movie.douban.com/subject/27180599/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2552445585.jpg,乔纳斯·阿克伦德,动作,2019-01-25,美国 ,英语,6.9,17017
我身体里的那个家伙 내안의 그놈,https://movie.douban.com/subject/27088750/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2540444795.jpg,姜孝镇,剧情,2019-01-09,韩国,韩语,6.9,13557
小猪佩奇过大年,https://movie.douban.com/subject/30295908/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2545975847.jpg,张大鹏,动画,2019-02-05,中国大陆 ,汉语普通话 ,4.0,9408
家和万事惊 家和萬事驚,https://movie.douban.com/subject/27604296/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2545486388.jpg,邱礼涛,喜剧,2019-01-18,中国大陆 ,粤语,5.9,10268
阳台上,https://movie.douban.com/subject/27135473/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2546828235.jpg,张猛,剧情,2019-03-15,中国大陆,汉语普通话,6.1,9957
三方国界 Triple Frontier,https://movie.douban.com/subject/3927789/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2548370093.jpg,J·C·尚多尔,动作,2019-03-13,美国,英语 ,6.3,9368
脱欧：无理之战 Brexit: The Uncivil War,https://movie.douban.com/subject/30223840/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2544474921.jpg,托比·海恩斯,剧情,2019-01-07,英国 ,英语,7.7,7851
玻璃先生 Glass,https://movie.douban.com/subject/27031237/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2544126815.jpg,M·奈特·沙马兰,悬疑,2019-01-18,美国,英语,6.4,8906
人间·喜剧,https://movie.douban.com/subject/27179414/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551693460.jpg,孙周,喜剧,2019-03-29,中国大陆,汉语普通话,3.5,7188
乐高大电影2 The Lego Movie 2: The Second Part,https://movie.douban.com/subject/25833233/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549353234.jpg,迈克·米切尔,喜剧,2019-03-22,美国 ,英语,6.8,5000
劫匪 The Highwaymen,https://movie.douban.com/subject/6538697/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2548750147.jpg,约翰·李·汉考克,剧情,2019-03-29,美国,英语,7.3,4720
我们 Us,https://movie.douban.com/subject/27053945/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551094671.jpg,乔丹·皮尔,惊悚,2019-03-08,美国,英语,7.4,4769
宁静 Serenity,https://movie.douban.com/subject/26970964/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2535338893.jpg,斯蒂文·奈特,剧情,2019-01-25,美国,英语,6.1,4459
证人 증인,https://movie.douban.com/subject/30306764/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2552969589.jpg,李翰,剧情,2019-02-13,韩国,韩语,7.7,4174
战斗民族养成记,https://movie.douban.com/subject/30168032/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2546069661.jpg,阿卡季·萨赫拉什维利,喜剧,2019-01-24,中国大陆 ,汉语普通话 ,4.7,3707
如影随心,https://movie.douban.com/subject/26871669/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2553279350.jpg,霍建起,剧情,2019-04-19,中国大陆,汉语普通话,4.7,3682
